Values[k1].InitialValue	Values[kd1].InitialValue	Values[kt3].InitialValue	Values[kt5].InitialValue	Values[k2].InitialValue	Values[kd2].InitialValue	Time	[l1]	[l13]	[l15]	[l135]	[c]
1.39435	0.268082	748.173	679.317	17.6449	0.0754031	0	0.000976602	0.00107517	0.000886405	0.0777964	18.2049
2.47205	0.276297	676.39	708.646	17.6602	0.076417	0	0.00178447	0.00170258	0.00186881	0.13774	31.8322
3.35207	0.149892	534.425	27.2955	17.0954	0.0490256	0	0.00596592	0.11617	0.000304621	0.193311	67.4085
3.28743	0.206951	944.436	374.183	18.8056	0.0430603	0	0.0024927	0.00628809	0.000987382	0.172802	75.4675
2.95641	0.330551	835.139	948.705	16.4495	0.0534476	0	0.00165702	0.00145816	0.0018816	0.176087	54.1942
2.48099	0.264654	708.234	884.986	16.8297	0.0483072	0	0.00155696	0.00124563	0.0019448	0.145062	50.5378
2.07332	0.316022	894.925	512.809	17.1612	0.0826954	0	0.00147247	0.00256809	0.000843458	0.118541	24.6001
1.22256	0.12165	774.972	252.812	16.5012	0.0559108	0	0.00118937	0.00364415	0.000387936	0.0735086	21.6949
2.58635	0.169634	993.43	321.165	17.8597	0.0415647	0	0.00196716	0.00608162	0.000635852	0.143371	61.604
3.47699	0.263814	494.197	566.864	18.7164	0.0318479	0	0.00327608	0.00285479	0.0037558	0.183053	107.576
3.15593	0.124486	889.544	650.354	17.8507	0.0520587	0	0.00204927	0.00280243	0.00149803	0.175528	60.1876
1.90028	0.169709	946.632	505.492	17.8511	0.0693153	0	0.00130847	0.00244953	0.000698584	0.105407	27.146
1.6663	0.153683	325.662	219.58	17.9406	0.075571	0	0.00305522	0.00452806	0.00205904	0.092008	21.8428
2.00286	0.136288	587.687	365.021	18.231	0.0429134	0	0.00210198	0.00338294	0.00130527	0.108994	46.3043
2.11624	0.128659	90.923	416.728	18.0395	0.0463258	0	0.00416763	0.000909025	0.0190745	0.116309	45.2915
3.47516	0.11707	864.071	732.091	17.3701	0.0332931	0	0.00217704	0.0025691	0.00184426	0.198682	103.659
2.55387	0.142548	494.806	305.814	18.7214	0.0673095	0	0.00318929	0.00515786	0.00197057	0.135306	37.6338
2.91404	0.330659	677.396	900.778	17.6676	0.0577202	0	0.00184608	0.00138776	0.00245365	0.161802	49.5261
3.0747	0.312184	309.93	475.782	18.5684	0.0445147	0	0.00391171	0.00254646	0.00599893	0.162644	67.8436
3.34489	0.184848	681.421	735.612	18.247	0.0788424	0	0.00236018	0.00218576	0.00254719	0.181402	41.9831
1.63627	0.185681	856.419	892.577	16.6194	0.0410797	0	0.000935451	0.000897369	0.000974735	0.0973366	39.3791
1.86988	0.299535	843.889	877.272	18.569	0.0289039	0	0.00108622	0.00104453	0.00112879	0.0990487	63.6329
1.83905	0.149753	405.249	879.3	18.0493	0.0640624	0	0.0014315	0.000659634	0.00310489	0.101009	28.4589
2.12744	0.280534	512.306	747.258	17.2257	0.0524422	0	0.00168865	0.00115728	0.00246175	0.12144	39.8894
3.4096	0.218922	945.595	499.944	18.7527	0.0556691	0	0.00235835	0.00445864	0.00124659	0.179628	60.5096
3.54532	0.219851	763.813	219.489	17.235	0.0803421	0	0.00360472	0.0125318	0.00103555	0.202898	43.5256
1.64909	0.218242	138.834	301.561	18.8375	0.0615514	0	0.00374272	0.00172184	0.00811678	0.086385	26.4377
3.31864	0.221104	940.397	912.486	16.4801	0.0789364	0	0.00179085	0.00184518	0.00173729	0.198636	41.4705
1.91899	0.223025	794.529	733.478	17.0033	0.0610101	0	0.0012557	0.0013598	0.00115888	0.11135	31.0329
3.59725	0.274708	283.802	99.2003	17.4459	0.0505019	0	0.00938551	0.0267769	0.00327744	0.202387	69.9147
1.64957	0.267499	60.5726	566.056	16.5343	0.0808977	0	0.00263133	0.00028144	0.0244818	0.0977419	19.977
1.58515	0.135458	32.6308	328.924	18.9958	0.049248	0	0.00438262	0.000434598	0.0439949	0.082511	31.8259
3.03163	0.245731	202.431	214.596	17.3975	0.046445	0	0.00726535	0.00684567	0.00769261	0.171526	64.2508
2.27748	0.189641	708.051	752.304	17.3945	0.0783313	0	0.00155934	0.00146724	0.00165635	0.129468	28.7502
1.34125	0.122802	164.154	533.937	16.5975	0.0445332	0	0.00192097	0.000590449	0.0062436	0.0801526	29.8728
1.64081	0.193374	959.208	438.1	17.4332	0.0283777	0	0.00117411	0.00256954	0.000536143	0.0930405	57.1575
1.5742	0.136735	68.7128	324.747	17.1131	0.0580391	0	0.00399953	0.000845898	0.0188648	0.0910712	26.8527
1.85904	0.251175	700.003	946.266	17.8195	0.0456821	0	0.00112907	0.000835014	0.00152574	0.102828	40.1107
1.69871	0.198858	778.173	925.458	18.7906	0.0699162	0	0.000996997	0.000838147	0.0011854	0.0894238	24.0335
1.42889	0.244396	445.904	818.172	18.242	0.0324765	0	0.00113016	0.000615754	0.00207255	0.0772436	43.3874
3.21324	0.135502	151.227	609.546	17.1071	0.0783917	0	0.00422289	0.00104746	0.0170058	0.18618	40.6292
1.28467	0.198587	920.778	681.146	18.7762	0.0332562	0	0.000801854	0.00108364	0.000593044	0.0676779	38.2105
2.04277	0.292252	940.61	107.645	17.3782	0.0799309	0	0.00194819	0.0169773	0.000222886	0.115287	25.0652
3.19427	0.19498	191.41	22.7376	18.1941	0.0560417	0	0.0149026	0.124387	0.00176849	0.172209	55.9081
1.69271	0.266574	659.957	310.57	17.7885	0.067009	0	0.00174363	0.00370201	0.000820207	0.09366	24.8634
1.40369	0.175369	813.63	6.56397	17.3973	0.0371998	0	0.00171105	0.206572	1.38009e-05	0.0778005	36.385
1.69967	0.145072	4.24692	197.462	18.0664	0.0741317	0	0.00842029	0.000180967	0.378572	0.0902452	21.9934
1.98905	0.167266	553.495	236.73	18.0082	0.0519395	0	0.00251654	0.00587974	0.001076	0.109349	37.9129
2.04526	0.293475	232.08	83.4992	17.6808	0.0826299	0	0.00647496	0.0179337	0.00232666	0.113352	24.2546
2.9396	0.255938	536.574	483.968	18.8212	0.0556918	0	0.00287971	0.00319104	0.00259614	0.153974	52.036
3.09074	0.111207	485.264	66.4262	17.7944	0.0596673	0	0.00560118	0.04085	0.000766552	0.17232	51.3904
1.6819	0.221131	470.142	937.897	18.1706	0.0828296	0	0.00119431	0.000598536	0.00238144	0.0913986	20.0504
1.29503	0.251066	390.265	138.712	18.4679	0.0574164	0	0.00244702	0.00687223	0.000869189	0.0690461	22.2086
1.89263	0.272411	91.8071	250.647	17.8369	0.0540502	0	0.00552226	0.0020205	0.015032	0.104172	34.3773
1.89464	0.193357	996.311	947.805	18.6936	0.0319587	0	0.000974454	0.00102411	0.000926832	0.100285	58.6595
1.26193	0.180759	260.495	424.396	17.6752	0.0340745	0	0.00184204	0.00113016	0.00299895	0.0706121	36.6281
1.82824	0.240311	764.088	586.65	17.4761	0.0393046	0	0.00135327	0.00176186	0.00103869	0.103139	45.8587
3.40865	0.299508	41.4722	415.829	18.4594	0.0592183	0	0.00744897	0.00074238	0.074153	0.180393	56.232
2.98172	0.152571	58.8653	726.451	18.3021	0.0736575	0	0.0037961	0.000307539	0.0467261	0.161149	40.0417
1.55409	0.324223	188.864	646.116	17.9543	0.0319654	0	0.00186051	0.000543568	0.00635402	0.0848675	47.6683
1.7921	0.135339	829.331	419.35	18.9329	0.0427053	0	0.00143504	0.0028371	0.000725506	0.0939479	41.6508
3.56876	0.327834	243.101	667.96	17.8542	0.0772008	0	0.00391574	0.00142442	0.0107446	0.19599	45.3264
1.58489	0.207896	281.333	39.3381	16.7467	0.0345117	0	0.00493923	0.035138	0.00069013	0.0929786	45.1177
1.75412	0.121345	88.9413	111.715	18.6544	0.048345	0	0.00873662	0.00694804	0.0109588	0.0932525	35.9825
2.91507	0.184106	713.951	443.496	17.6865	0.0772	0	0.00251813	0.00405207	0.00156382	0.163037	37.3517
1.43405	0.328356	733.676	472.398	17.8492	0.0606039	0	0.0011887	0.00184487	0.000765035	0.0788226	23.215
2.065	0.241229	999.314	848.492	16.8383	0.0583488	0	0.0011174	0.00131564	0.000948525	0.120857	34.877
3.22668	0.187029	639.043	153.56	17.2043	0.0441949	0	0.00407003	0.016917	0.000977727	0.185298	72.133
1.56329	0.330944	428.237	659.104	17.2389	0.0740134	0	0.00143728	0.000933369	0.00221042	0.0888891	20.7037
2.99933	0.19524	697.381	971.464	16.4665	0.0454186	0	0.00179704	0.00128978	0.00250261	0.179948	65.24
3.09572	0.299623	70.0847	675.765	18.6039	0.0684063	0	0.00414893	0.000430101	0.0398341	0.163061	44.3461
2.34494	0.275094	688.844	237.431	17.5282	0.0404368	0	0.00253083	0.00733405	0.000871977	0.131548	57.0223
1.67974	0.123642	384.716	672.686	18.9543	0.0363816	0	0.00158837	0.000908239	0.00277642	0.0880124	45.8532
1.47419	0.147487	8.11884	857.212	17.4206	0.0319503	0	0.00170332	1.61297e-05	0.176633	0.0824154	44.9362
1.87842	0.29905	886.297	611.589	17.5662	0.0363178	0	0.00125379	0.00181607	0.000864889	0.105078	50.824
2.7555	0.174997	947.47	848.355	17.5571	0.0532747	0	0.00153425	0.00171314	0.00137349	0.155351	51.1971
3.24239	0.144628	923.034	277.446	17.8473	0.0411569	0	0.00270059	0.0089799	0.000811615	0.180113	78.1044
3.21335	0.273702	927.089	282.507	18.0026	0.0303432	0	0.00265595	0.00870746	0.000809093	0.175638	104.206
1.63723	0.30486	248.635	757.228	16.6509	0.0483375	0	0.00162719	0.000534071	0.0049496	0.0964309	33.2177
1.81407	0.128283	600.644	332.064	17.4285	0.0364185	0	0.00194468	0.00351622	0.00107488	0.103278	49.425
2.80637	0.237103	965.442	500.904	17.8368	0.0474101	0	0.00191354	0.00368642	0.000992567	0.155186	58.3845
3.33816	0.271066	507.367	997.088	16.5612	0.0327518	0	0.00221845	0.00112855	0.00435741	0.198195	100.219
1.91434	0.18143	831.495	330.753	16.7958	0.0511666	0	0.00164684	0.00413781	0.000654941	0.112691	36.9915
1.97184	0.129218	240.815	241.76	18.1471	0.0763725	0	0.00408498	0.00406684	0.00409882	0.107804	25.6156
2.00242	0.224055	446.423	807.304	18.438	0.0667967	0	0.00159689	0.000882802	0.00288634	0.107235	29.6001
2.06248	0.330368	956.464	493.419	18.4975	0.0583841	0	0.00142219	0.00275498	0.000733423	0.109458	34.6789
1.22069	0.277912	429.152	612.199	17.6393	0.0309911	0	0.00117191	0.000821135	0.00167068	0.0680726	38.7452
3.24312	0.141599	486.819	70.4049	17.0361	0.0386912	0	0.00581867	0.0401528	0.000841264	0.188412	82.9599
1.46756	0.318806	979.055	376.728	16.4041	0.0809195	0	0.00108219	0.00281005	0.000416277	0.0876753	17.7736
3.57133	0.168899	482.337	467.734	18.0306	0.0507024	0	0.00375834	0.00387429	0.00364328	0.196127	69.746
1.83733	0.245917	913.583	633.22	16.8838	0.047108	0	0.00118763	0.0017128	0.000822947	0.107206	38.4234
1.95067	0.181172	387.932	347.475	18.0048	0.0631787	0	0.00265185	0.00295906	0.00237418	0.107183	30.5452
2.05314	0.194211	758.722	709.85	18.5001	0.0321929	0	0.00139787	0.0014937	0.00130749	0.109783	63.0885
3.15574	0.251971	471.194	254.062	17.487	0.0322894	0	0.0043497	0.00805916	0.00234405	0.177689	96.2314
2.65721	0.14374	604.15	261.943	17.8664	0.0648639	0	0.00306754	0.00707115	0.00132968	0.147448	40.6138
2.95945	0.311347	193.803	14.1706	18.9099	0.0792905	0	0.0142087	0.190146	0.00103725	0.15064	35.9261
3.03383	0.247615	844.758	130.77	16.4818	0.0387734	0	0.00310915	0.0200467	0.000481161	0.180997	76.9383
3.4348	0.241951	354.35	6.7469	17.4671	0.0599702	0	0.00950575	0.481963	0.000180868	0.187241	54.5361
1.43332	0.321235	483.191	487.871	16.9211	0.0408338	0	0.00147554	0.00146043	0.00148884	0.0830453	34.4132
2.60774	0.132348	923.69	206.44	18.9162	0.0755827	0	0.0023072	0.0103166	0.000515573	0.136808	34.2392
3.2247	0.284467	808.493	53.0879	16.4305	0.0335105	0	0.00374154	0.0566773	0.000245594	0.19189	94.0857
2.31517	0.148998	641.833	768.615	17.7479	0.0798327	0	0.00164127	0.00137028	0.00196501	0.12932	28.7496
2.66604	0.325195	951.418	417.841	16.757	0.0704314	0	0.0019466	0.00442895	0.000854611	0.155934	37.0996
3.5978	0.265677	818.614	642.961	16.998	0.08087	0	0.00246115	0.00313222	0.00193242	0.208288	43.7797
1.37813	0.205145	20.6797	707.686	18.1311	0.082311	0	0.00189155	5.52581e-05	0.0640954	0.0744199	16.3929
2.61165	0.23688	530.279	729.332	16.5462	0.0738824	0	0.00207299	0.00150673	0.00284987	0.155522	34.8296
